,0,1
0,ADES,PCTI
1,BANF,CHCO
2,BANF,TRST
3,ELY,NSP
4,AGEN,FOLD
5,AGEN,ZIOP
6,BHB,HBCP
7,BHB,PFBC
8,CCMP,IRBT
9,CPF,HAFC
10,CPF,SBCF
11,CPF,UCBI
12,DRH,PEB
13,BDGE,BSRR
14,BDGE,BUSE
15,BDGE,DCOM
16,BDGE,EFSC
17,BDGE,FISI
18,BDGE,HFWA
19,BDGE,NFBK
20,BDGE,OCFC
21,CTSO,EML
22,CTSO,GRBK
23,CTSO,ICAD
24,CTSO,MHH
25,CTSO,WLFC
26,CDE,GORO
27,APT,AYTU
28,APT,CATC
29,APT,EBMT
30,APT,ELA
31,APT,FDBC
32,APT,PKBK
33,APT,RILY
34,APT,UBFO
35,FARM,PLUS
36,AMSC,AVID
37,AMSC,AXTI
38,AMSC,FRO
39,AMSC,GLUU
40,AMSC,MNA
41,AMSC,VHC
42,AE,CECE
43,CAKE,CBRL
44,ADUS,PCYG
45,INT,MTRX
46,ACNB,CIVB
47,ACNB,TSBK
48,ACLS,MXL
49,BHE,KAMN
50,BHE,TNC
51,ARL,BCML
52,ARL,BFC
53,ARL,CARE
54,ARL,FCCO
55,ARL,MBCN
56,ARL,MPB
57,ARL,OVLY
58,ARL,PNRG
59,ARL,SONA
60,AZZ,BMI
61,BBBY,BKE
62,BCPC,IIIN
63,BCPC,MLR
64,AMSWA,CCBG
65,AMSWA,EBTC
66,AMSWA,FRPH
67,AMSWA,SP
68,AMSWA,STFC
69,AMSWA,WEYS
70,ANIK,UFPT
71,ATLC,BCBP
72,ATLC,CASI
73,ATLC,FMAO
74,ATLC,HWBK
75,ATLC,TCI
76,CDMO,DRRX
77,CDMO,HNGR
78,CDMO,OPCH
79,CDMO,PRTK
80,CDMO,SAVA
81,B,UNF
82,EPC,HURN
83,CKH,NR
84,ABCB,LKFN
85,ABCB,SASR
86,ABCB,WASH
87,BXS,GBCI
88,AROW,GABC
89,CASS,FLIC
90,AUB,TCBK
91,AMEH,AUBN
92,AMEH,CBAN
93,AMEH,CBFV
94,AMEH,CIZN
95,AMEH,CMCL
96,AMEH,COFS
97,AMEH,ELOX
98,AMEH,FCAP
99,AMEH,FRBA
100,AMEH,HBMD
101,AMEH,MLSS
102,AMEH,MMAC
103,AMEH,MNSB
104,AMEH,NWFL
105,AMEH,OPBK
106,AMEH,OPRX
107,AMEH,PEBK
108,AMEH,RGCO
109,AMEH,SIEB
110,AMEH,TCFC
111,AMEH,WKHS
112,AMEH,ZYXI
113,ACTG,EGHT
114,APEI,UTI
115,MD,PDCO
116,AAON,KAI
117,ATNI,EXPO
118,ATNI,NHC
119,BH,DORM
120,BH,LZB
121,ABEO,BCLI
122,CBU,IBOC
123,CMP,SFL
124,ETH,MDP
125,ETH,WGO
